V0000330143	それはとってもいい話だ。	それ	それはとってもいい 話[はなし]だ。	
V0000330178	八日からイギリスに行きます。	八日	八日[ようか]からイギリスに 行[い]きます。	
V0000330179	来月の二十日は弟の誕生日です。	二十日	来月[らいげつ]の 二十日[はつか]は 弟[おとうと]の 誕生日[たんじょうび]です。	
V0000330180	私は二日待った。	二日	私[わたし]は 二日[ふつか] 待[ま]った。	
V0000330181	九日に荷物が届きます。	九日	九日[ここのか]に 荷物[にもつ]が 届[とど]きます。	
V0000330182	私は友達のところに泊まった。	ところ	私[わたし]は 友達[ともだち]のところに 泊[と]まった。	
V0000330183	来月の一日は空いていますか。	一日	来月[らいげつ]の 一日[ついたち]は 空[あ]いていますか。	
V0000330184	十日後に帰ります。	十日	十日[とおか] 後[ご]に 帰[かえ]ります。	
V0000330185	先月の七日に孫が生まれました。	七日	先月[せんげつ]の 七日[なのか]に 孫[まご]が 生[う]まれました。	
V0000330186	新学期は来月の四日からです。	四日	新学期[しんがっき]は 来月[らいげつ]の 四日[よっか]からです。	
V0000330187	今夜は月がとてもきれいです。	月	今夜[こんや]は 月[つき]がとてもきれいです。	
V0000330188	水を一杯ください。	水	水[みず]を 一杯[いっぱい]ください。	
V0000330189	これはかなり金がかかった。	金	これはかなり 金[かね]がかかった。	
V0000330190	日曜日は海に行きました。	日曜日	日曜日[にちようび]は 海[うみ]に 行[い]きました。	
V0000330191	土曜日の夜はクラブに行きます。	土曜日	土曜日[どようび]の 夜[よる]はクラブに 行[い]きます。	
V0000330192	一緒に宿題をやろう。	やる	一緒[いっしょ]に 宿題[しゅくだい]をやろう。	
V0000330193	金曜日の夜は友達と出かけます。	金曜日	金曜日[きんようび]の 夜[よる]は 友達[ともだち]と 出[で]かけます。	
V0000330194	月曜日に会いましょう。	月曜日	月曜日[げつようび]に 会[あ]いましょう。	
V0000330195	木曜日は仕事が休みです。	木曜日	木曜日[もくようび]は 仕事[しごと]が 休[やす]みです。	
V0000330196	曜日を間違えました。	曜日	曜日[ようび]を 間違[まちが]えました。	
V0000330197	火曜日に会議があります。	火曜日	火曜日[かようび]に 会議[かいぎ]があります。	
V0000330198	水曜日はバイトがあります。	水曜日	水曜日[すいようび]はバイトがあります。	
V0000330199	その次の週は空いてますか。	週	その 次[つぎ]の 週[しゅう]は 空[あ]いてますか。	
V0000330200	新しい年が始まりました。	年	新[あたら]しい 年[とし]が 始[はじ]まりました。	
V0000330201	質問の意味は分かりましたか。	分かる	質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。	
V0000330202	私もそう思います。	そう	私[わたし]もそう 思[おも]います。	
V0000330203	夕食には何を食べたいですか。	何	夕食[ゆうしょく]には 何[なに]を 食[た]べたいですか。	
V0000330204	お先にどうぞ。	先	お 先[さき]にどうぞ。	
V0000330205	今年はイタリアに旅行したい。	今年	今年[ことし]はイタリアに 旅行[りょこう]したい。	
V0000330206	彼は今、勉強しています。	今	彼[かれ]は 今[いま]、 勉強[べんきょう]しています。	
V0000330207	今日は仕事がありません。	今日	今日[きょう]は 仕事[しごと]がありません。	
V0000330208	今月はとても忙しい。	今月	今月[こんげつ]はとても 忙[いそが]しい。	
V0000330209	今週は日本語のテストがあります。	今週	今週[こんしゅう]は 日本語[にほんご]のテストがあります。	
V0000330210	彼は昼過ぎに来ます。	来る	彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。	
V0000330211	来年一緒に旅行しましょう。	来年	来年[らいねん] 一緒[いっしょ]に 旅行[りょこう]しましょう。	
V0000330212	彼はもう帰りました。	もう	彼[かれ]はもう 帰[かえ]りました。	
V0000330213	日曜日は図書館に行きます。	行く	日曜日[にちようび]は 図書館[としょかん]に 行[い]きます。	
V0000330214	家に帰ろう。	帰る	家[うち]に 帰[かえ]ろう。	
V0000330215	あの大きい建物は何ですか。	大きい	あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。	
V0000330216	小さい花が咲いています。	小さい	小[ちい]さい 花[はな]が 咲[さ]いています。	
V0000330217	今年は雨が少ないです。	少ない	今年[ことし]は 雨[あめ]が 少[すく]ないです。	
V0000330218	少し疲れました。	少し	少[すこ]し 疲[つか]れました。	
V0000330219	京都にはお寺が多い。	多い	京都[きょうと]にはお 寺[てら]が 多[おお]い。	
V0000330220	彼女は多分家で寝ています。	多分	彼女[かのじょ]は 多分[たぶん] 家[いえ]で 寝[ね]ています。	
V0000330221	彼は荷物をあみだなに上げた。	上げる	彼[かれ]は 荷物[にもつ]をあみだなに 上[あ]げた。	
V0000330222	彼女はよく旅行に行きます。	よく	彼女[かのじょ]はよく 旅行[りょこう]に 行[い]きます。	
V0000330223	猫が屋根に上っている。	上る	猫[ねこ]が 屋根[やね]に 上[のぼ]っている。	
V0000330224	上を向いて。	上	上[うえ]を 向[む]いて。	
V0000330225	財布は机の下にあった。	下	財布[さいふ]は 机[つくえ]の 下[した]にあった。	
V0000330226	右のポケットにハンカチが入っています。	右	右[みぎ]のポケットにハンカチが 入[はい]っています。	
V0000330227	そこを左に曲がってください。	左	そこを 左[ひだり]に 曲[ま]がってください。	
V0000330228	彼は私の方を見ました。	方	彼[かれ]は 私[わたし]の 方[ほう]を 見[み]ました。	
V0000330229	お酒は大人になってから。	大人	お 酒[さけ]は 大人[おとな]になってから。	
V0000330230	彼は優しい人です。	人	彼[かれ]は 優[やさ]しい 人[ひと]です。	
V0000330231	そこには私一人しかいなかった。	一人	そこには 私[わたし] 一人[ひとり]しかいなかった。	
V0000330232	あなたはどう思いますか。	どう	あなたはどう 思[おも]いますか。	
V0000330233	彼はかばんに手帳を入れた。	入れる	彼[かれ]はかばんに 手帳[てちょう]を 入[い]れた。	
V0000330234	寒いので中に入ってください。	入る	寒[さむ]いので 中[なか]に 入[はい]ってください。	
V0000330235	今朝は早く家を出ました。	出る	今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。	
V0000330236	彼女はイタリア語が出来ます。	出来る	彼女[かのじょ]はイタリア 語[ご]が 出来[でき]ます。	
V0000330237	彼はかばんから教科書を出した。	出す	彼[かれ]はかばんから 教科書[きょうかしょ]を 出[だ]した。	
V0000330238	本を１冊買いました。	本	本[ほん]を １冊買[いっさつ か]いました。	
V0000330239	明日、会社を休みます。	休む	明日[あした]、 会社[かいしゃ]を 休[やす]みます。	
V0000330240	私は体が丈夫だ。	体	私[わたし]は 体[からだ]が 丈夫[じょうぶ]だ。	
V0000330241	彼女は青い目をしています。	目	彼女[かのじょ]は 青[あお]い 目[め]をしています。	
V0000330242	あの本をどこに置きましたか。	どこ	あの 本[ほん]をどこに 置[お]きましたか。	
V0000330243	口を大きく開けてください。	口	口[くち]を 大[おお]きく 開[あ]けてください。	
V0000330244	彼女は耳がよく聞こえません。	耳	彼女[かのじょ]は 耳[みみ]がよく 聞[き]こえません。	
V0000330245	妹は歌が上手です。	上手	妹[いもうと]は 歌[うた]が 上手[じょうず]です。	
V0000330246	分かった人は手を上げてください。	手	分[わ]かった 人[ひと]は 手[て]を 上[あ]げてください。	
V0000330247	彼は足が長い。	足	彼[かれ]は 足[あし]が 長[なが]い。	
V0000330248	レストランは空いていました。	空く	レストランは 空[す]いていました。	
V0000330249	男の人が私たちに話しかけた。	男	男[おとこ]の 人[ひと]が 私[わたし]たちに 話[はな]しかけた。	
V0000330250	店員は若い女の人でした。	女	店員[てんいん]は 若[わか]い 女[おんな]の 人[ひと]でした。	
V0000330251	電車で子供が騒いでいた。	子供	電車[でんしゃ]で 子供[こども]が 騒[さわ]いでいた。	
V0000330252	この本、あなたにあげます。	あげる	この 本[ほん]、あなたにあげます。	
V0000330253	私はワインが好きです。	好き	私[わたし]はワインが 好[す]きです。	
V0000330254	私は犬が大好きだ。	大好き	私[わたし]は 犬[いぬ]が 大好[だいす]きだ。	
V0000330255	私が行きましょう。	私	私[わたし]が 行[い]きましょう。	
V0000330256	私には友達がたくさんいます。	友達	私[わたし]には 友達[ともだち]がたくさんいます。	
V0000330257	家に遊びに来てください。	家	家[うち]に 遊[あそ]びに 来[き]てください。	
V0000330258	彼は意外に気が小さい。	気	彼[かれ]は 意外[いがい]に 気[き]が 小[ちい]さい。	
V0000330259	おかげさまで元気です。	元気	おかげさまで 元気[げんき]です。	
V0000330260	今日はいい天気ですね。	天気	今日[きょう]はいい 天気[てんき]ですね。	
V0000330261	明日は晴れるといいですね。	晴れる	明日[あした]は 晴[は]れるといいですね。	
V0000330262	こう小さい字は読めない。	こう	こう 小[ちい]さい 字[じ]は 読[よ]めない。	
V0000330263	昨日、友達に会った。	昨日	昨日[きのう]、 友達[ともだち]に 会[あ]った。	
V0000330264	窓を開けてください。	開ける	窓[まど]を 開[あ]けてください。	
V0000330265	32ページを開いてください。	開く	32[さんじゅうに]ページを 開[ひら]いてください。	
V0000330266	教科書を閉じてください。	閉じる	教科書[きょうかしょ]を 閉[と]じてください。	
V0000330267	ちゃんとドアを閉めてよ。	閉める	ちゃんとドアを 閉[し]めてよ。	
V0000330268	お店はもう閉まっていました。	閉まる	お 店[みせ]はもう 閉[し]まっていました。	
V0000330269	彼女はラジオを聞いています。	聞く	彼女[かのじょ]はラジオを 聞[き]いています。	
V0000330270	今は時間がありません。	時間	今[いま]は 時間[じかん]がありません。	
V0000330271	これがこの町で一番高いビルです。	高い	これがこの 町[まち]で 一番[いちばん] 高[たか]いビルです。	
V0000330272	友達が誕生日プレゼントをくれた。	くれる	友達[ともだち]が 誕生日[たんじょうび]プレゼントをくれた。	
V0000330273	この服はとても安かった。	安い	この 服[ふく]はとても 安[やす]かった。	
V0000330274	彼は背が低い。	低い	彼[かれ]は 背[せ]が 低[ひく]い。	
V0000330275	その店の前で会いましょう。	前	その 店[みせ]の 前[まえ]で 会[あ]いましょう。	
V0000330276	仕事の後、映画を見た。	後	仕事[しごと]の 後[あと]、 映画[えいが]を 見[み]た。	
V0000330277	後ろを向いて。	後ろ	後[うし]ろを 向[む]いて。	
V0000330278	明日の午後、お客様が来る。	午後	明日[あす]の 午後[ごご]、お 客様[きゃくさま]が 来[く]る。	
V0000330279	午前9時のニュースです。	午前	午前[ごぜん] 9時[くじ]のニュースです。	
V0000330280	気持ちのいい朝です。	朝	気持[きも]ちのいい 朝[あさ]です。	
V0000330281	私は昼のドラマを毎日見ます。	昼	私[わたし]は 昼[ひる]のドラマを 毎日見[まいにち み]ます。	
V0000330282	彼はかなり英語が上手です。	かなり	彼[かれ]はかなり 英語[えいご]が 上手[じょうず]です。	
V0000330283	晩ご飯は食べましたか。	晩	晩[ばん]ご 飯[はん]は 食[た]べましたか。	
V0000330284	今晩のパーティーは何時からですか。	今晩	今晩[こんばん]のパーティーは 何時[なんじ]からですか。	
V0000330285	きのうの夜は家にいました。	夜	きのうの 夜[よる]は 家[いえ]にいました。	
V0000330286	昨日タイカレーを食べました。	食べる	昨日[きのう]タイカレーを 食[た]べました。	
V0000330287	友達とお酒を飲んでいます。	飲む	友達[ともだち]とお 酒[さけ]を 飲[の]んでいます。	
V0000330288	私はパンよりご飯が好きだ。	ご飯	私[わたし]はパンよりご 飯[はん]が 好[す]きだ。	
V0000330289	郵便局で切手を買いました。	買う	郵便局[ゆうびんきょく]で 切手[きって]を 買[か]いました。	
V0000330290	私は絵を見るのが好きです。	見る	私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。	
V0000330291	その写真を見せてください。	見せる	その 写真[しゃしん]を 見[み]せてください。	
V0000330292	もっと近くに来てください。	もっと	もっと 近[ちか]くに 来[き]てください。	
V0000330293	新しい仕事を見つけました。	見つける	新[あたら]しい 仕事[しごと]を 見[み]つけました。	
V0000330294	ここから富士山がよく見えます。	見える	ここから 富士山[ふじさん]がよく 見[み]えます。	
V0000330295	メガネが見つかりません。	見つかる	メガネが 見[み]つかりません。	
P0000146963	上司が「一杯、飲もう。」と言った。	言う	上司[じょうし]が
P0000146963	一杯[いっぱい]、 飲[の]もう。」と 言[い]った。	
V0000330296	母と電話で話しました。	話す	母[はは]と 電話[でんわ]で 話[はな]しました。	
V0000330297	彼女は雑誌を読んでいます。	読む	彼女[かのじょ]は 雑誌[ざっし]を 読[よ]んでいます。	
V0000330298	漢字は中国から来ました。	漢字	漢字[かんじ]は 中国[ちゅうごく]から 来[き]ました。	
V0000330299	彼に手紙を書きました。	書く	彼[かれ]に 手紙[てがみ]を 書[か]きました。	
V0000330300	妹は平仮名を全部覚えました。	覚える	妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ] 覚[おぼ]えました。	
V0000330301	そこに座ってください。	そこ	そこに 座[すわ]ってください。	
V0000330302	また会いましょう。	会う	また 会[あ]いましょう。	
V0000330303	3月は仕事が忙しい。	仕事	3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。	
V0000330304	分からない場合は私に聞いてください。	場合	分[わ]からない 場合[ばあい]は 私[わたし]に 聞[き]いてください。	
V0000330305	弟が車を買った。	車	弟[おとうと]が 車[くるま]を 買[か]った。	
V0000330306	私は電車で通学しています。	電車	私[わたし]は 電車[でんしゃ]で 通学[つうがく]しています。	
V0000330307	駅はどこですか。	駅	駅[えき]はどこですか。	
V0000330308	この道を真っ直ぐ行くと駅です。	道	この 道[みち]を 真[ま]っ 直[す]ぐ 行[い]くと 駅[えき]です。	
V0000330309	他に方法がありません。	他	他[ほか]に 方法[ほうほう]がありません。	
V0000330310	話すのを止めてください。	止める	話[はな]すのを 止[や]めてください。	
V0000330311	ここに本があります。	ここ	ここに 本[ほん]があります。	
V0000330312	駅まで歩きましょう。	歩く	駅[えき]まで 歩[ある]きましょう。	
V0000330313	彼は毎晩3キロ走っています。	走る	彼[かれ]は 毎晩3[まいばん さん]キロ 走[はし]っています。	
V0000330314	駅の近くで食事をした。	近く	駅[えき]の 近[ちか]くで 食事[しょくじ]をした。	
V0000330315	駅はここから近いです。	近い	駅[えき]はここから 近[ちか]いです。	
V0000330316	私の家は駅の近くです。	近く	私[わたし]の 家[いえ]は 駅[えき]の 近[ちか]くです。	
V0000330317	家から学校までは遠いです。	遠い	家[いえ]から 学校[がっこう]までは 遠[とお]いです。	
V0000330318	彼女の髪はとても長い。	長い	彼女[かのじょ]の 髪[かみ]はとても 長[なが]い。	
V0000330319	彼は足が短い。	短い	彼[かれ]は 足[あし]が 短[みじか]い。	
V0000330320	彼の家はとても広い。	広い	彼[かれ]の 家[いえ]はとても 広[ひろ]い。	
V0000330321	彼女からプレゼントをもらいました。	もらう	彼女[かのじょ]からプレゼントをもらいました。	
V0000330322	それ、全部ください。	全部	それ、 全部[ぜんぶ]ください。	
V0000330323	私の国について少しお話しましょう。	国	私[わたし]の 国[くに]について 少[すこ]しお 話[はなし]しましょう。	
V0000330324	彼は歯が白い。	白い	彼[かれ]は 歯[は]が 白[しろ]い。	
V0000330325	赤いバラを買いました。	赤い	赤[あか]いバラを 買[か]いました。	
V0000330326	私の部屋は2階にあります。	部屋	私[わたし]の 部屋[へや]は 2階[にかい]にあります。	
V0000330327	日本人はお米が大好きです。	米	日本人[にほんじん]はお 米[こめ]が 大好[だいす]きです。	
V0000330328	宿題は未だ終わっていません。	未だ	宿題[しゅくだい]は 未[ま]だ 終[お]わっていません。	
V0000330329	私の机の上に書類がたくさん有ります。	有る	私[わたし]の 机[つくえ]の 上[うえ]に 書類[しょるい]がたくさん 有[あ]ります。	
V0000330330	ここには何も無い。	無い	ここには 何[なに]も 無[な]い。	
V0000330331	この本はとてもおもしろい。	とても	この 本[ほん]はとてもおもしろい。	
V0000330332	今、朝ご飯を作っています。	作る	今[いま]、 朝[あさ]ご 飯[はん]を 作[つく]っています。	
V0000330333	このパソコンを使ってください。	使う	このパソコンを 使[つか]ってください。	
V0000330334	昼間は電気を消してください。	消す	昼間[ひるま]は 電気[でんき]を 消[け]してください。	
V0000330335	彼は家を売った。	売る	彼[かれ]は 家[いえ]を 売[う]った。	
V0000330336	私はこの店によく来ます。	店	私[わたし]はこの 店[みせ]によく 来[き]ます。	
V0000330337	今年の春は暖かいね。	春	今年[ことし]の 春[はる]は 暖[あたた]かいね。	
V0000330338	私は夏が大好き。	夏	私[わたし]は 夏[なつ]が 大好[だいす]き。	
V0000330339	彼女は秋に結婚します。	秋	彼女[かのじょ]は 秋[あき]に 結婚[けっこん]します。	
V0000330340	カナダの冬はとても寒いです。	冬	カナダの 冬[ふゆ]はとても 寒[さむ]いです。	
V0000330341	みんなにお菓子をあげましょう。	みんな	みんなにお 菓子[かし]をあげましょう。	
V0000330342	今日はとても暑い。	暑い	今日[きょう]はとても 暑[あつ]い。	
V0000330343	このスープはとても熱い。	熱い	このスープはとても 熱[あつ]い。	
V0000330344	この部屋は寒いです。	寒い	この 部屋[へや]は 寒[さむ]いです。	
V0000330345	このコートはとても暖かい。	暖かい	このコートはとても 暖[あたた]かい。	
V0000330346	彼の車は新しい。	新しい	彼[かれ]の 車[くるま]は 新[あたら]しい。	
V0000330347	私は古い車が好きです。	古い	私[わたし]は 古[ふる]い 車[くるま]が 好[す]きです。	
V0000330348	彼女は良い友達です。	良い	彼女[かのじょ]は 良[い]い 友達[ともだち]です。	
V0000330349	たばこは体に悪い。	悪い	たばこは 体[からだ]に 悪[わる]い。	
V0000330350	私もそう思います。	思う	私[わたし]もそう 思[おも]います。	
V0000330351	彼女はいつも元気だ。	いつも	彼女[かのじょ]はいつも 元気[げんき]だ。	
V0000330352	約束を忘れないでください。	忘れる	約束[やくそく]を 忘[わす]れないでください。	
V0000330353	よく考えてください。	考える	よく 考[かんが]えてください。	
V0000330354	帰国することに決めました。	決める	帰国[きこく]することに 決[き]めました。	
V0000330355	旅行の日程が決まりました。	決まる	旅行[りょこう]の 日程[にってい]が 決[き]まりました。	
V0000330356	誰もその話を知らない。	知る	誰[だれ]もその 話[はなし]を 知[し]らない。	
V0000330357	彼はクラスで一番背が高い。	一番	彼[かれ]はクラスで 一番[いちばん] 背[せ]が 高[たか]い。	
V0000330358	彼は会社の近くに住んでいる。	住む	彼[かれ]は 会社[かいしゃ]の 近[ちか]くに 住[す]んでいる。	
V0000330359	あなたの名前を教えてください。	名前	あなたの 名前[なまえ]を 教[おし]えてください。	
V0000330360	日本の食べ物はとても美味しいです。	食べ物	日本[にっぽん]の 食[た]べ 物[もの]はとても 美味[おい]しいです。	
V0000330361	彼女はいつ来ますか。	いつ	彼女[かのじょ]はいつ 来[き]ますか。	
V0000330362	何か飲み物が欲しいな。	飲み物	何[なに]か 飲[の]み 物[もの]が 欲[ほ]しいな。	
V0000330363	このかばんは重いです。	重い	このかばんは 重[おも]いです。	
V0000330364	この靴はとても軽い。	軽い	この 靴[くつ]はとても 軽[かる]い。	
V0000330365	彼の家に荷物を送りました。	送る	彼[かれ]の 家[いえ]に 荷物[にもつ]を 送[おく]りました。	
V0000330366	テストでいい点を取った。	取る	テストでいい 点[てん]を 取[と]った。	
V0000330367	あなたが来るのを待っています。	待つ	あなたが 来[く]るのを 待[ま]っています。	
V0000330368	私は車を持っています。	持つ	私[わたし]は 車[くるま]を 持[も]っています。	
V0000330369	彼の気持ちが分からない。	気持ち	彼[かれ]の 気持[きも]ちが 分[わ]からない。	
V0000330370	皆一生懸命生きている。	生きる	皆一生懸命[みんな いっしょうけんめい] 生[い]きている。	
V0000330371	肉と魚とどちらが好きですか。	どちら	肉[にく]と 魚[さかな]とどちらが 好[す]きですか。	
V0000330372	私は日本語の先生になりたいです。	先生	私[わたし]は 日本語[にほんご]の 先生[せんせい]になりたいです。	
V0000330373	大学に行ってもっと勉強したいです。	大学	大学[だいがく]に 行[い]ってもっと 勉強[べんきょう]したいです。	
V0000330374	彼は真面目な学生です。	学生	彼[かれ]は 真面目[まじめ]な 学生[がくせい]です。	
V0000330375	姉は大学生です。	大学生	姉[あね]は 大学生[だいがくせい]です。	
V0000330376	学校は8時半に始まります。	学校	学校[がっこう]は 8時半[はちじはん]に 始[はじ]まります。	
V0000330377	私の弟は高校生です。	高校生	私[わたし]の 弟[おとうと]は 高校生[こうこうせい]です。	
V0000330378	彼は数学を教えています。	教える	彼[かれ]は 数学[すうがく]を 教[おし]えています。	
V0000330379	私は日本語を勉強しています。	勉強	私[わたし]は 日本語[にほんご]を 勉強[べんきょう]しています。	
V0000330380	今日は風が強い。	強い	今日[きょう]は 風[かぜ]が 強[つよ]い。	
V0000330381	この中でどれが好きですか。	どれ	この 中[なか]でどれが 好[す]きですか。	
V0000330382	その子は体が少し弱い。	弱い	その 子[こ]は 体[からだ]が 少[すこ]し 弱[よわ]い。	
V0000330383	このドアは引いてください。	引く	このドアは 引[ひ]いてください。	
V0000330384	質問のある方はどうぞ。	質問	質問[しつもん]のある 方[かた]はどうぞ。	
V0000330385	この本は難しいですね。	難しい	この 本[ほん]は 難[むずか]しいですね。	
V0000330386	グラスの数が足りません。	数	グラスの 数[かず]が 足[た]りません。	
V0000330387	今日はヤンキースが勝った。	勝つ	今日[きょう]はヤンキースが 勝[か]った。	
V0000330388	私たちのチームはその試合で負けた。	負ける	私[わたし]たちのチームはその 試合[しあい]で 負[ま]けた。	
V0000330389	あなたが本当に好きです。	本当に	あなたが 本当[ほんとう]に 好[す]きです。	
V0000330390	予約は要りません。	要る	予約[よやく]は 要[い]りません。	
V0000330391	ドアを開けてください。	ドア	ドアを 開[あ]けてください。	
V0000330392	時計を見たらちょうど3時だった。	時計	時計[とけい]を 見[み]たらちょうど 3時[さんじ]だった。	
V0000330393	私が払いましょう。	払う	私[わたし]が 払[はら]いましょう。	
V0000330394	この紙を半分に切ってください。	切る	この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。	
V0000330395	旅行の日程を変えました。	変える	旅行[りょこう]の 日程[にってい]を 変[か]えました。	
V0000330396	駅からはタクシーに乗ってください。	乗る	駅[えき]からはタクシーに 乗[の]ってください。	
V0000330397	今日はスーツを着ています。	着る	今日[きょう]はスーツを 着[き]ています。	
V0000330398	彼はステージに立った。	立つ	彼[かれ]はステージに 立[た]った。	
V0000330399	私は窓側の席に座った。	座る	私[わたし]は 窓側[まどがわ]の 席[せき]に 座[すわ]った。	
V0000330400	次はいつ会いましょうか。	次	次[つぎ]はいつ 会[あ]いましょうか。	
V0000330401	彼女はよくしゃべるね。	しゃべる	彼女[かのじょ]はよくしゃべるね。	
V0000330402	動かないで。	動く	動[うご]かないで 。	
V0000330403	姉は銀行で働いています。	働く	姉[あね]は 銀行[ぎんこう]で 働[はたら]いています。	
V0000330404	まだ学校へ行くには早い時間です。	早い	まだ 学校[がっこう]へ 行[い]くには 早[はや]い 時間[じかん]です。	
V0000330405	彼は走るのが速い。	速い	彼[かれ]は 走[はし]るのが 速[はや]い。	
V0000330406	前の車はとても遅い。	遅い	前[まえ]の 車[くるま]はとても 遅[おそ]い。	
V0000330407	テストを始めてください。	始める	テストを 始[はじ]めてください。	
V0000330408	新しい仕事が始まりました。	始まる	新[あたら]しい 仕事[しごと]が 始[はじ]まりました。	
V0000330409	会議は4時に終わります。	終わる	会議[かいぎ]は 4時[よじ]に 終[お]わります。	
V0000330410	夏休みももう終わりだ。	終わり	夏休[なつやす]みももう 終[お]わりだ。	
V0000330411	新しいテーブルを買いました。	テーブル	新[あたら]しいテーブルを 買[か]いました。	
V0000330412	私は去年フランスへ行った。	去年	私[わたし]は 去年[きょねん]フランスへ 行[い]った。	
V0000330413	紙と鉛筆はありますか。	紙	紙[かみ]と 鉛筆[えんぴつ]はありますか。	
V0000330414	今日は一人の時間を楽しみたい。	楽しむ	今日[きょう]は 一人[ひとり]の 時間[じかん]を 楽[たの]しみたい。	
V0000330415	彼はとても楽しい人です。	楽しい	彼[かれ]はとても 楽[たの]しい 人[ひと]です。	
V0000330416	私たちは大きな声で歌いました。	歌う	私[わたし]たちは 大[おお]きな 声[こえ]で 歌[うた]いました。	
V0000330417	僕は新しい靴が欲しいです。	欲しい	僕[ぼく]は 新[あたら]しい 靴[くつ]が 欲[ほ]しいです。	
V0000330418	すてきな色のセーターですね。	色	すてきな 色[いろ]のセーターですね。	
V0000330419	彼女は茶色の靴を履いています。	茶色	彼女[かのじょ]は 茶色[ちゃいろ]の 靴[くつ]を 履[は]いています。	
V0000330420	直ぐ行きます。	直ぐ	直[す]ぐ 行[い]きます。	
V0000330421	私たちはビデオゲームをした。	ゲーム	私[わたし]たちはビデオゲームをした。	
V0000330422	この書類を書き直してください。	書き直す	この 書類[しょるい]を 書[か]き 直[なお]してください。	
V0000330423	クーラーはまだ直りません。	直る	クーラーはまだ 直[なお]りません。	
